,K302,K173,K414,K158,K402,K305,K071,K097,K124,K128,K159,K184,K189,K206,K225,K270,K304,K405,K406,K424,K430,K703,K704,K707,K711,K561,K504,K145,K250,a12in,a12out,n211in,n211out,n141in,n141out,n142in,n142out,n143in,n143out,from_dh,to_dh,FH,FX,T,SQ,RH,VV,N,M,R,S,O,school_holiday,other_holidays
K704,0.3,0.16,0.28,0.32,0.34,0.36,0.06,0.04,0.0,0.36,0.04,0.2,0.06,0.3,0.18,0.0,0.2,0.0,0.18,0.04,0.0,0.04,1.0,0.02,0.28,0.22,0.22,0.18,0.02,0.18,0.12,0.1,0.08,0.12,0.08,0.14,0.04,0.04,0.12,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.08,0.28,0.02,0.0,1.0,1.0
K707,0.04,0.0,0.0,0.04,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.04,0.02,1.0,0.0,0.02,0.02,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.12,0.2,0.04,0.04,1.0,1.0
K711,0.22,0.12,0.18,0.22,0.24,0.24,0.02,0.0,0.0,0.26,0.04,0.16,0.06,0.18,0.14,0.0,0.1,0.0,0.14,0.02,0.0,0.0,0.28,0.0,1.0,0.18,0.18,0.14,0.02,0.08,0.04,0.06,0.04,0.08,0.04,0.06,0.0,0.02,0.08,0.02,0.04,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.04,0.24,0.0,0.0,1.0,1.0
K561,0.18,0.14,0.24,0.3,0.26,0.3,0.0,0.04,0.02,0.26,0.02,0.14,0.02,0.2,0.18,0.0,0.12,0.0,0.16,0.0,0.0,0.0,0.22,0.02,0.18,1.0,0.18,0.18,0.02,0.2,0.1,0.08,0.1,0.1,0.08,0.12,0.04,0.1,0.18,0.0,0.04,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.04,0.22,0.0,0.0,1.0,1.0
K504,0.16,0.12,0.16,0.22,0.26,0.26,0.04,0.04,0.0,0.22,0.02,0.16,0.02,0.2,0.14,0.0,0.06,0.0,0.16,0.0,0.0,0.02,0.22,0.02,0.18,0.18,1.0,0.18,0.02,0.18,0.08,0.08,0.04,0.1,0.06,0.1,0.02,0.06,0.14,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.12,0.18,0.0,0.0,1.0,0.98
K145,0.2,0.14,0.14,0.24,0.18,0.16,0.04,0.02,0.02,0.24,0.02,0.12,0.02,0.18,0.12,0.0,0.06,0.0,0.12,0.06,0.02,0.02,0.18,0.0,0.14,0.18,0.18,1.0,0.0,0.14,0.1,0.12,0.06,0.14,0.08,0.14,0.02,0.04,0.12,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.1,0.32,0.02,0.02,0.98,1.0
K250,0.06,0.0,0.06,0.04,0.02,0.02,0.0,0.02,0.02,0.04,0.0,0.02,0.02,0.04,0.04,0.0,0.02,0.04,0.0,0.04,0.06,0.0,0.02,0.0,0.02,0.02,0.02,0.0,1.0,0.0,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.26,0.0,0.02,1.0,1.0
a12in,0.22,0.12,0.24,0.26,0.26,0.22,0.12,0.04,0.0,0.2,0.02,0.08,0.04,0.16,0.18,0.0,0.16,0.04,0.14,0.02,0.02,0.04,0.18,0.02,0.08,0.2,0.18,0.14,0.0,1.0,0.24,0.08,0.14,0.18,0.18,0.28,0.06,0.1,0.2,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.22,0.34,0.08,0.06,0.96,0.96
a12out,0.22,0.1,0.22,0.16,0.18,0.26,0.06,0.06,0.0,0.16,0.0,0.1,0.02,0.08,0.16,0.0,0.22,0.04,0.16,0.0,0.02,0.04,0.12,0.0,0.04,0.1,0.08,0.1,0.02,0.24,1.0,0.02,0.04,0.1,0.1,0.12,0.02,0.02,0.12,0.02,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.22,0.22,0.02,0.0,0.98,0.98
n211in,0.08,0.08,0.1,0.1,0.04,0.08,0.02,0.0,0.0,0.08,0.02,0.06,0.02,0.08,0.04,0.0,0.02,0.0,0.06,0.0,0.0,0.02,0.1,0.02,0.06,0.08,0.08,0.12,0.0,0.08,0.02,1.0,0.08,0.08,0.04,0.04,0.04,0.08,0.06,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.14,0.2,0.0,0.0,1.0,1.0
n211out,0.04,0.06,0.12,0.12,0.06,0.12,0.0,0.02,0.02,0.06,0.02,0.04,0.02,0.08,0.02,0.0,0.02,0.0,0.04,0.0,0.0,0.0,0.08,0.0,0.04,0.1,0.04,0.06,0.0,0.14,0.04,0.08,1.0,0.06,0.16,0.1,0.08,0.08,0.1,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.18,0.02,0.02,0.96,0.92
n141in,0.18,0.1,0.16,0.2,0.12,0.16,0.04,0.0,0.02,0.1,0.02,0.1,0.02,0.14,0.06,0.0,0.12,0.04,0.1,0.04,0.0,0.04,0.12,0.0,0.08,0.1,0.1,0.14,0.02,0.18,0.1,0.08,0.06,1.0,0.1,0.34,0.04,0.12,0.18,0.0,0.02,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.16,0.22,0.04,0.02,1.0,0.98
n141out,0.06,0.2,0.14,0.08,0.06,0.08,0.04,0.02,0.0,0.06,0.0,0.06,0.0,0.06,0.02,0.0,0.02,0.02,0.06,0.02,0.0,0.02,0.08,0.0,0.04,0.08,0.06,0.08,0.0,0.18,0.1,0.04,0.16,0.1,1.0,0.18,0.42,0.48,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.24,0.04,0.06,0.88,0.88
n142in,0.18,0.08,0.18,0.2,0.12,0.14,0.06,0.0,0.02,0.12,0.02,0.06,0.02,0.12,0.08,0.0,0.14,0.0,0.08,0.02,0.0,0.04,0.14,0.0,0.06,0.12,0.1,0.14,0.0,0.28,0.12,0.04,0.1,0.34,0.18,1.0,0.08,0.08,0.16,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.2,0.18,0.06,0.04,1.0,1.0
n142out,0.0,0.1,0.02,0.02,0.0,0.02,0.02,0.0,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.04,0.02,0.0,0.04,0.02,0.02,0.0,0.06,0.02,0.04,0.08,0.04,0.42,0.08,1.0,0.34,0.04,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.04,0.08,0.86,0.86
n143in,0.06,0.18,0.1,0.1,0.04,0.08,0.02,0.02,0.0,0.04,0.0,0.04,0.0,0.04,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04,0.02,0.02,0.1,0.06,0.04,0.02,0.1,0.02,0.08,0.08,0.12,0.48,0.08,0.34,1.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.24,0.06,0.08,0.94,0.94
n143out,0.1,0.1,0.14,0.14,0.1,0.14,0.0,0.02,0.0,0.14,0.02,0.12,0.02,0.12,0.1,0.0,0.08,0.0,0.1,0.0,0.02,0.0,0.12,0.0,0.08,0.18,0.14,0.12,0.02,0.2,0.12,0.06,0.1,0.18,0.12,0.16,0.04,0.12,1.0,0.0,0.02,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.12,0.32,0.06,0.06,1.0,0.98
